query_name,index_type,index_description,index_statement,execution_time,cpu_start,cpu_end,cpu_change,memory_start,memory_end,memory_change,result_count,select,insert,update,delete,create,drop,alter,join,where,group by,order by,having,limit,between,in,like,error
category_performance,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),1.556614875793457,0.0,0.0,0.0,79.29296875,80.38671875,1.09375,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
category_performance_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),1.615121603012085,0.0,0.0,0.0,80.41796875,80.44140625,0.0234375,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
category_performance_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),1.5339951515197754,0.0,0.0,0.0,80.44921875,80.45703125,0.0078125,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
category_performance_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),1.57753586769104,0.0,0.0,0.0,80.45703125,80.45703125,0.0,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
category_performance_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),1.5292415618896484,0.0,0.0,0.0,80.45703125,80.45703125,0.0,2160,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,
customer_order_trends,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),1.447092056274414,0.0,0.0,0.0,80.45703125,197.50390625,117.046875,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_order_trends_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),1.374279499053955,0.0,0.0,0.0,84.00390625,197.14453125,113.140625,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_order_trends_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),1.345428466796875,0.0,0.0,0.0,84.2421875,197.23046875,112.98828125,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_order_trends_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),1.3798413276672363,0.0,0.0,0.0,86.52734375,197.203125,110.67578125,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_order_trends_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),1.4186654090881348,0.0,0.0,0.0,87.1328125,197.12109375,109.98828125,276934,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,
customer_segmentation,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.5234839916229248,0.0,0.0,0.0,88.85546875,91.8125,2.95703125,10000,1,0,0,0,0,0,0,1,0,1,2,1,0,1,6,0,
customer_segmentation_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.45276379585266113,0.0,0.0,0.0,89.5546875,91.47265625,1.91796875,10000,1,0,0,0,0,0,0,1,0,1,2,1,0,1,6,0,
customer_segmentation_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.45867276191711426,0.0,0.0,0.0,89.56640625,91.421875,1.85546875,10000,1,0,0,0,0,0,0,1,0,1,2,1,0,1,6,0,
customer_segmentation_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.4306964874267578,0.0,0.0,0.0,89.60546875,91.59765625,1.9921875,10000,1,0,0,0,0,0,0,1,0,1,2,1,0,1,6,0,
customer_segmentation_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.4372284412384033,0.0,0.0,0.0,89.60546875,91.3203125,1.71484375,10000,1,0,0,0,0,0,0,1,0,1,2,1,0,1,6,0,
customer_spending,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.18439817428588867,0.0,0.0,0.0,89.7265625,90.4140625,0.6875,10000,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,
customer_spending_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.17964649200439453,0.0,0.0,0.0,90.4140625,90.453125,0.0390625,10000,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,
customer_spending_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.18231773376464844,0.0,0.0,0.0,90.453125,90.453125,0.0,10000,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,
customer_spending_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.1771383285522461,0.0,0.0,0.0,90.453125,90.453125,0.0,10000,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,
customer_spending_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.18923139572143555,0.0,0.0,0.0,90.453125,90.453125,0.0,10000,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,
multi_column_category_price,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.002110719680786133,0.0,0.0,0.0,90.453125,90.453125,0.0,6,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
multi_column_category_price_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.002347230911254883,0.0,0.0,0.0,90.453125,90.45703125,0.00390625,6,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
multi_column_category_price_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.0019378662109375,0.0,0.0,0.0,90.45703125,90.45703125,0.0,6,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
multi_column_category_price_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.005515098571777344,0.0,0.0,0.0,90.45703125,90.45703125,0.0,6,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
multi_column_category_price_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.0029799938201904297,0.0,0.0,0.0,90.45703125,90.45703125,0.0,6,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
order_history,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.14025330543518066,0.0,0.0,0.0,90.45703125,97.92578125,7.46875,34379,1,0,0,0,0,0,0,2,1,1,1,0,0,1,2,0,
order_history_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.16369390487670898,0.0,0.0,0.0,91.3203125,97.3828125,6.0625,34379,1,0,0,0,0,0,0,2,1,1,1,0,0,1,2,0,
order_history_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.16439437866210938,0.0,0.0,0.0,92.33203125,97.8359375,5.50390625,34379,1,0,0,0,0,0,0,2,1,1,1,0,0,1,2,0,
order_history_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.17628002166748047,0.0,0.0,0.0,91.70703125,97.515625,5.80859375,34379,1,0,0,0,0,0,0,2,1,1,1,0,0,1,2,0,
order_history_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.1597309112548828,0.0,0.0,0.0,91.3359375,97.39453125,6.05859375,34379,1,0,0,0,0,0,0,2,1,1,1,0,0,1,2,0,
prefix_email_match,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.0048983097076416016,0.0,0.0,0.0,92.34375,92.34375,0.0,123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
prefix_email_match_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.009326934814453125,0.0,0.0,0.0,92.34375,92.34375,0.0,123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
prefix_email_match_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.0032134056091308594,0.0,0.0,0.0,92.34375,92.34375,0.0,123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
prefix_email_match_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.007426023483276367,0.0,0.0,0.0,92.34375,92.34375,0.0,123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
prefix_email_match_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.0027468204498291016,0.0,0.0,0.0,92.34375,92.34375,0.0,123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
price_range_products,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),0.0031294822692871094,0.0,0.0,0.0,92.34375,92.34765625,0.00390625,785,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
price_range_products_hash,hash,Hash index for equality comparisons,CREATE INDEX hash_users_email ON Users USING HASH (email); CREATE INDEX hash_products_id ON Products USING HASH (product_id); CREATE INDEX hash_orders_id ON Orders USING HASH (order_id),0.006382942199707031,0.0,0.0,0.0,92.34765625,92.34765625,0.0,785,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
price_range_products_bitmap,bitmap,Bitmap index for low-cardinality columns,CREATE INDEX bitmap_orders_status ON Orders (status); CREATE INDEX bitmap_products_category ON Products (category_id); CREATE INDEX bitmap_categories_parent ON Categories (category_id),0.0034542083740234375,0.0,0.0,0.0,92.34765625,92.34765625,0.0,785,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
price_range_products_gist,gist,GiST index for complex data types,CREATE INDEX gist_orders_date ON Orders USING GIST (order_date); CREATE INDEX gist_products_name ON Products USING GIST (name gist_trgm_ops); CREATE INDEX gist_users_address ON Users USING GIST (shipping_address gist_trgm_ops),0.00472259521484375,0.0,0.0,0.0,92.34765625,92.29296875,-0.0546875,785,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
price_range_products_reverse,reverse,Reverse index for reducing concurrency contention,CREATE INDEX rev_users_id ON Users USING REVERSE (user_id); CREATE INDEX rev_orders_date ON Orders USING REVERSE (order_date); CREATE INDEX rev_products_name ON Products USING REVERSE (name),0.003272533416748047,0.0,0.0,0.0,92.29296875,92.29296875,0.0,785,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,
product_performance_pivot,btree,B-Tree index for range queries and sorting,CREATE INDEX btree_orders_date ON Orders (order_date); CREATE INDEX btree_orders_user ON Orders (user_id); CREATE INDEX btree_products_category ON Products (category_id); CREATE INDEX btree_orderitems_order ON OrderItems (order_id); CREATE INDEX btree_orderitems_product ON OrderItems (product_id),2.2804243564605713,0.0,0.0,0.0,92.29296875,93.0625,0.76953125,2000,1,0,0,0,0,0,0,3,0,1,1,0,0,0,3,0,
